Entidade;Campo;Tipo;Caminho Completo;Profundidade;Removido pelo filtro padrão
;DadosDoCartorio;⚠ null (objeto);[Dados.DadosDoCartorio];1;Não
DadosDoCartorio;Codigo;Int32;[Dados.DadosDoCartorio.Codigo];2;Não
DadosDoCartorio;CodigoCNS;Int32;[Dados.DadosDoCartorio.CodigoCNS];2;Não
DadosDoCartorio;Denominacao;String;[Dados.DadosDoCartorio.Denominacao];2;Não
DadosDoCartorio;NomeDoResponsavel;String;[Dados.DadosDoCartorio.NomeDoResponsavel];2;Não
DadosDoCartorio;Logo;String;[Dados.DadosDoCartorio.Logo];2;Não
DadosDoCartorio;HorarioDeFuncionamento;String;[Dados.DadosDoCartorio.HorarioDeFuncionamento];2;Não
DadosDoCartorio;Site;String;[Dados.DadosDoCartorio.Site];2;Não
DadosDoCartorio;ImagemLogo;Byte[];[Dados.DadosDoCartorio.ImagemLogo];2;Não
DadosDoCartorio;PessoaID;Nullable`1[[System.Guid, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]];[Dados.DadosDoCartorio.PessoaID];2;Não
DadosDoCartorio;Data;DateTime;[Dados.DadosDoCartorio.Data];2;Não
DadosDoCartorio;TipoDeParticipacaoID;Guid;[Dados.DadosDoCartorio.TipoDeParticipacaoID];2;Não
DadosDoCartorio;QualificacaoID;Guid;[Dados.DadosDoCartorio.QualificacaoID];2;Não
DadosDoCartorio;Nome;String;[Dados.DadosDoCartorio.Nome];2;Não
DadosDoCartorio;TipoDeDocumento;String;[Dados.DadosDoCartorio.TipoDeDocumento];2;Não
DadosDoCartorio;NumeroDoDocumento;String;[Dados.DadosDoCartorio.NumeroDoDocumento];2;Não
DadosDoCartorio;Emails;String;[Dados.DadosDoCartorio.Emails];2;Não
DadosDoCartorio;Telefones;String;[Dados.DadosDoCartorio.Telefones];2;Não
DadosDoCartorio;Profissao;String;[Dados.DadosDoCartorio.Profissao];2;Não
DadosDoCartorio;Nacionalidade;String;[Dados.DadosDoCartorio.Nacionalidade];2;Não
DadosDoCartorio;TipoDoSegundoDocumento;String;[Dados.DadosDoCartorio.TipoDoSegundoDocumento];2;Não
DadosDoCartorio;NumeroDoSegundoDocumento;String;[Dados.DadosDoCartorio.NumeroDoSegundoDocumento];2;Não
DadosDoCartorio;Ativo;Boolean;[Dados.DadosDoCartorio.Ativo];2;Não
DadosDoCartorio.Enderecos;ParticipanteID;Guid;[Dados.DadosDoCartorio.Enderecos.ParticipanteID];3;Não
DadosDoCartorio.Enderecos;Cep;String;[Dados.DadosDoCartorio.Enderecos.Cep];3;Não
DadosDoCartorio.Enderecos;Endereco;String;[Dados.DadosDoCartorio.Enderecos.Endereco];3;Não
DadosDoCartorio.Enderecos;NumeroDoEndereco;String;[Dados.DadosDoCartorio.Enderecos.NumeroDoEndereco];3;Não
DadosDoCartorio.Enderecos;Complemento;String;[Dados.DadosDoCartorio.Enderecos.Complemento];3;Não
DadosDoCartorio.Enderecos;Bairro;String;[Dados.DadosDoCartorio.Enderecos.Bairro];3;Não
DadosDoCartorio.Enderecos;Cidade;String;[Dados.DadosDoCartorio.Enderecos.Cidade];3;Não
DadosDoCartorio.Enderecos;Estado;String;[Dados.DadosDoCartorio.Enderecos.Estado];3;Não
DadosDoCartorio.Enderecos;Ordem;Int32;[Dados.DadosDoCartorio.Enderecos.Ordem];3;Não
DadosDoCartorio.Enderecos;ID;Guid;[Dados.DadosDoCartorio.Enderecos.ID];3;Não
DadosDoCartorio.Enderecos;ValidationResult;⚠ null (objeto);[Dados.DadosDoCartorio.Enderecos.ValidationResult];3;Sim
DadosDoCartorio.Enderecos.ValidationResult;IsOK;Boolean;[Dados.DadosDoCartorio.Enderecos.ValidationResult.IsOK];4;Sim
DadosDoCartorio.Enderecos.ValidationResult.Erros;Length;Int32;[Dados.DadosDoCartorio.Enderecos.ValidationResult.Erros.Length];5;Sim
DadosDoCartorio.Enderecos.ValidationResult;MessageSuccess;String;[Dados.DadosDoCartorio.Enderecos.ValidationResult.MessageSuccess];4;Sim
DadosDoCartorio.Enderecos;CidadeParaHigienizacao;String;[Dados.DadosDoCartorio.Enderecos.CidadeParaHigienizacao];3;Não
DadosDoCartorio.Enderecos;EnderecoOriginal;String;[Dados.DadosDoCartorio.Enderecos.EnderecoOriginal];3;Não
DadosDoCartorio.Enderecos;CepSanitizado;String;[Dados.DadosDoCartorio.Enderecos.CepSanitizado];3;Não
DadosDoCartorio.Enderecos;CepConvertido;Int32;[Dados.DadosDoCartorio.Enderecos.CepConvertido];3;Não
DadosDoCartorio.Enderecos;CobrarIntimacao;Boolean;[Dados.DadosDoCartorio.Enderecos.CobrarIntimacao];3;Não
DadosDoCartorio;Pessoa;⚠ null (objeto);[Dados.DadosDoCartorio.Pessoa];2;Não
DadosDoCartorio.Pessoa;Nome;String;[Dados.DadosDoCartorio.Pessoa.Nome];3;Não
DadosDoCartorio.Pessoa;TipoDeDocumento;String;[Dados.DadosDoCartorio.Pessoa.TipoDeDocumento];3;Não
DadosDoCartorio.Pessoa;NumeroDoDocumento;Int64;[Dados.DadosDoCartorio.Pessoa.NumeroDoDocumento];3;Não
DadosDoCartorio.Pessoa;Data;DateTime;[Dados.DadosDoCartorio.Pessoa.Data];3;Não
DadosDoCartorio.Pessoa;SuspenderPesquisa;Boolean;[Dados.DadosDoCartorio.Pessoa.SuspenderPesquisa];3;Não
DadosDoCartorio.Pessoa;Emails;String;[Dados.DadosDoCartorio.Pessoa.Emails];3;Não
DadosDoCartorio.Pessoa;Telefones;String;[Dados.DadosDoCartorio.Pessoa.Telefones];3;Não
DadosDoCartorio.Pessoa.Enderecos;PessoaID;Guid;[Dados.DadosDoCartorio.Pessoa.Enderecos.PessoaID];4;Não
DadosDoCartorio.Pessoa.Enderecos;Data;DateTime;[Dados.DadosDoCartorio.Pessoa.Enderecos.Data];4;Não
DadosDoCartorio.Pessoa.Enderecos;Cep;Int32;[Dados.DadosDoCartorio.Pessoa.Enderecos.Cep];4;Não
DadosDoCartorio.Pessoa.Enderecos;Endereco;String;[Dados.DadosDoCartorio.Pessoa.Enderecos.Endereco];4;Não
DadosDoCartorio.Pessoa.Enderecos;NumeroDoEndereco;String;[Dados.DadosDoCartorio.Pessoa.Enderecos.NumeroDoEndereco];4;Não
DadosDoCartorio.Pessoa.Enderecos;Complemento;String;[Dados.DadosDoCartorio.Pessoa.Enderecos.Complemento];4;Não
DadosDoCartorio.Pessoa.Enderecos;Bairro;String;[Dados.DadosDoCartorio.Pessoa.Enderecos.Bairro];4;Não
DadosDoCartorio.Pessoa.Enderecos;Cidade;String;[Dados.DadosDoCartorio.Pessoa.Enderecos.Cidade];4;Não
DadosDoCartorio.Pessoa.Enderecos;Estado;String;[Dados.DadosDoCartorio.Pessoa.Enderecos.Estado];4;Não
DadosDoCartorio.Pessoa.Enderecos;ID;Guid;[Dados.DadosDoCartorio.Pessoa.Enderecos.ID];4;Não
DadosDoCartorio.Pessoa.Enderecos;ValidationResult;⚠ null (objeto);[Dados.DadosDoCartorio.Pessoa.Enderecos.ValidationResult];4;Sim
DadosDoCartorio.Pessoa.Enderecos.ValidationResult;IsOK;Boolean;[Dados.DadosDoCartorio.Pessoa.Enderecos.ValidationResult.IsOK];5;Sim
DadosDoCartorio.Pessoa.Enderecos.ValidationResult;MessageSuccess;String;[Dados.DadosDoCartorio.Pessoa.Enderecos.ValidationResult.MessageSuccess];5;Sim
DadosDoCartorio.Pessoa;ID;Guid;[Dados.DadosDoCartorio.Pessoa.ID];3;Não
DadosDoCartorio.Pessoa;ValidationResult;⚠ null (objeto);[Dados.DadosDoCartorio.Pessoa.ValidationResult];3;Sim
DadosDoCartorio.Pessoa.ValidationResult;IsOK;Boolean;[Dados.DadosDoCartorio.Pessoa.ValidationResult.IsOK];4;Sim
DadosDoCartorio.Pessoa.ValidationResult.Erros;Length;Int32;[Dados.DadosDoCartorio.Pessoa.ValidationResult.Erros.Length];5;Sim
DadosDoCartorio.Pessoa.ValidationResult;MessageSuccess;String;[Dados.DadosDoCartorio.Pessoa.ValidationResult.MessageSuccess];4;Sim
DadosDoCartorio;TipoDeParticipacao;⚠ null (objeto);[Dados.DadosDoCartorio.TipoDeParticipacao];2;Não
DadosDoCartorio.TipoDeParticipacao;Nome;String;[Dados.DadosDoCartorio.TipoDeParticipacao.Nome];3;Não
DadosDoCartorio.TipoDeParticipacao;ID;Guid;[Dados.DadosDoCartorio.TipoDeParticipacao.ID];3;Não
DadosDoCartorio.TipoDeParticipacao;ValidationResult;⚠ null (objeto);[Dados.DadosDoCartorio.TipoDeParticipacao.ValidationResult];3;Sim
DadosDoCartorio.TipoDeParticipacao.ValidationResult;IsOK;Boolean;[Dados.DadosDoCartorio.TipoDeParticipacao.ValidationResult.IsOK];4;Sim
DadosDoCartorio.TipoDeParticipacao.ValidationResult.Erros;Length;Int32;[Dados.DadosDoCartorio.TipoDeParticipacao.ValidationResult.Erros.Length];5;Sim
DadosDoCartorio.TipoDeParticipacao.ValidationResult;MessageSuccess;String;[Dados.DadosDoCartorio.TipoDeParticipacao.ValidationResult.MessageSuccess];4;Sim
DadosDoCartorio;Qualificacao;⚠ null (objeto);[Dados.DadosDoCartorio.Qualificacao];2;Não
DadosDoCartorio.Qualificacao;Nome;String;[Dados.DadosDoCartorio.Qualificacao.Nome];3;Não
DadosDoCartorio.Qualificacao;TipoDeParticipacaoID;Guid;[Dados.DadosDoCartorio.Qualificacao.TipoDeParticipacaoID];3;Não
DadosDoCartorio.Qualificacao;TipoDeParticipacao;⚠ null (objeto);[Dados.DadosDoCartorio.Qualificacao.TipoDeParticipacao];3;Não
DadosDoCartorio.Qualificacao.TipoDeParticipacao;Nome;String;[Dados.DadosDoCartorio.Qualificacao.TipoDeParticipacao.Nome];4;Não
DadosDoCartorio.Qualificacao.TipoDeParticipacao;ID;Guid;[Dados.DadosDoCartorio.Qualificacao.TipoDeParticipacao.ID];4;Não
DadosDoCartorio.Qualificacao.TipoDeParticipacao;ValidationResult;⚠ null (objeto);[Dados.DadosDoCartorio.Qualificacao.TipoDeParticipacao.ValidationResult];4;Sim
DadosDoCartorio.Qualificacao.TipoDeParticipacao.ValidationResult;IsOK;Boolean;[Dados.DadosDoCartorio.Qualificacao.TipoDeParticipacao.ValidationResult.IsOK];5;Sim
DadosDoCartorio.Qualificacao.TipoDeParticipacao.ValidationResult;MessageSuccess;String;[Dados.DadosDoCartorio.Qualificacao.TipoDeParticipacao.ValidationResult.MessageSuccess];5;Sim
DadosDoCartorio.Qualificacao;ID;Guid;[Dados.DadosDoCartorio.Qualificacao.ID];3;Não
DadosDoCartorio.Qualificacao;ValidationResult;⚠ null (objeto);[Dados.DadosDoCartorio.Qualificacao.ValidationResult];3;Sim
DadosDoCartorio.Qualificacao.ValidationResult;IsOK;Boolean;[Dados.DadosDoCartorio.Qualificacao.ValidationResult.IsOK];4;Sim
DadosDoCartorio.Qualificacao.ValidationResult.Erros;Length;Int32;[Dados.DadosDoCartorio.Qualificacao.ValidationResult.Erros.Length];5;Sim
DadosDoCartorio.Qualificacao.ValidationResult;MessageSuccess;String;[Dados.DadosDoCartorio.Qualificacao.ValidationResult.MessageSuccess];4;Sim
DadosDoCartorio;ID;Guid;[Dados.DadosDoCartorio.ID];2;Não
DadosDoCartorio;ValidationResult;⚠ null (objeto);[Dados.DadosDoCartorio.ValidationResult];2;Sim
DadosDoCartorio.ValidationResult;IsOK;Boolean;[Dados.DadosDoCartorio.ValidationResult.IsOK];3;Sim
DadosDoCartorio.ValidationResult.Erros;Length;Int32;[Dados.DadosDoCartorio.ValidationResult.Erros.Length];4;Sim
DadosDoCartorio.ValidationResult;MessageSuccess;String;[Dados.DadosDoCartorio.ValidationResult.MessageSuccess];3;Sim
DadosDoCartorio;NumeroDoDocumentoSanitizado;String;[Dados.DadosDoCartorio.NumeroDoDocumentoSanitizado];2;Não
DadosDoCartorio;NumeroDoDocumentoConvertido;Int64;[Dados.DadosDoCartorio.NumeroDoDocumentoConvertido];2;Não
DadosDoCartorio;NomeDoPai;String;[Dados.DadosDoCartorio.NomeDoPai];2;Não
DadosDoCartorio;NomeDaMae;String;[Dados.DadosDoCartorio.NomeDaMae];2;Não
DadosDoCartorio;EstadoCivil;String;[Dados.DadosDoCartorio.EstadoCivil];2;Não
DadosDoCartorio;IncluirCadastroNoSAC;Boolean;[Dados.DadosDoCartorio.IncluirCadastroNoSAC];2;Não
DadosDoCartorio;NomeSocial;String;[Dados.DadosDoCartorio.NomeSocial];2;Não
DadosDoCartorio;TipoDoParticipanteSelo;Int32;[Dados.DadosDoCartorio.TipoDoParticipanteSelo];2;Não
;DadosDoPedido;⚠ null (objeto);[Dados.DadosDoPedido];1;Não
DadosDoPedido;TipoDeCancelamento;String;[Dados.DadosDoPedido.TipoDeCancelamento];2;Não
DadosDoPedido;VaraJudicialID;Nullable`1[[System.Guid, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]];[Dados.DadosDoPedido.VaraJudicialID];2;Não
DadosDoPedido;NumeroDoProcesso;String;[Dados.DadosDoPedido.NumeroDoProcesso];2;Não
DadosDoPedido;Observacoes;String;[Dados.DadosDoPedido.Observacoes];2;Não
DadosDoPedido;PrazoParaFinalizacao;DateTime;[Dados.DadosDoPedido.PrazoParaFinalizacao];2;Não
DadosDoPedido;VaraJudicial;⚠ null (objeto);[Dados.DadosDoPedido.VaraJudicial];2;Não
DadosDoPedido.VaraJudicial;Nome;String;[Dados.DadosDoPedido.VaraJudicial.Nome];3;Não
DadosDoPedido.VaraJudicial;ID;Guid;[Dados.DadosDoPedido.VaraJudicial.ID];3;Não
DadosDoPedido.VaraJudicial;ValidationResult;⚠ null (objeto);[Dados.DadosDoPedido.VaraJudicial.ValidationResult];3;Sim
